log10 frequency (Hz)  log10 PSD(Pa^2/Hz)
  -1.94375                3.57200 
  -1.90625                3.56029 
  -1.86876                3.54750 
  -1.83125                3.53352 
  -1.79375                3.51836 
  -1.75625                3.50369 
  -1.71875                3.48769 
  -1.68125                3.47025 
  -1.64375                3.45124 
  -1.60626                3.36550 
  -1.56875                3.28949 
  -1.53125                3.23412 
  -1.49376                3.17377 
  -1.45625                3.12789 
  -1.41875                3.07786 
  -1.38125                3.00950 
  -1.34375                2.93503 
  -1.30625                2.83249 
  -1.26875                2.68902 
  -1.23125                2.54920 
  -1.19375                2.36903 
  -1.15625                2.27642 
  -1.11876                2.21167 
  -1.08125                2.14836 
  -1.04375                2.12124 
  -1.00625                2.03906 
  -0.96875                1.99002 
  -0.93125                1.91717 
  -0.89375                1.86165 
  -0.85625                1.78802 
  -0.81875                1.74154 
  -0.78125                1.64044 
  -0.74375                1.55050 
  -0.70625                1.46659 
  -0.66875                1.41281 
  -0.63125                1.35315 
  -0.59375                1.30198 
  -0.55625                1.23145 
  -0.51875                1.17100 
  -0.48125                1.06150 
  -0.44375                0.93966 
  -0.40625                0.81011 
  -0.36875                0.67795 
  -0.33125                0.53131 
  -0.29375                0.38196 
  -0.25624                0.25948 
  -0.21875                0.09160 
  -0.18125               -0.03414 
  -0.14375               -0.13415 
  -0.10625               -0.26178 
  -0.06875               -0.44496 
  -0.03125               -0.62661 
   0.00625               -0.82417 
   0.04375               -0.92433 
   0.08125               -1.01698 
   0.11876               -1.09507 
   0.15625               -1.16303 
   0.19375               -1.20155 
   0.23126               -1.24891 
   0.26875               -1.30630 
   0.30625               -1.34962 
   0.34375               -1.41550 
   0.38125               -1.49433 
   0.41875               -1.56327 
   0.45625               -1.63514 
   0.49376               -1.70438 
   0.53125               -1.76305 
   0.56875               -1.81432 
   0.60626               -1.86647 
   0.64375               -1.91117 
   0.68125               -1.94471 
   0.71876               -1.99301 
   0.75625               -2.03370 
   0.79375               -2.09105 
   0.83125               -2.16671 
   0.86876               -2.25650 
   0.90625               -2.36960 
   0.94375               -2.50557 
