log10 frequency (Hz)  log10 PSD(Pa^2/Hz)
  -1.94375               -2.26949 
  -1.90625               -2.32293 
  -1.86876               -2.38121 
  -1.83125               -2.44472 
  -1.79375               -2.51391 
  -1.75625               -2.58335 
  -1.71875               -2.65897 
  -1.68125               -2.74145 
  -1.64375               -2.83139 
  -1.60626               -2.93584 
  -1.56875               -3.04969 
  -1.53125               -3.15202 
  -1.49376               -3.26359 
  -1.45625               -3.36686 
  -1.41875               -3.47952 
  -1.38125               -3.55128 
  -1.34375               -3.62951 
  -1.30625               -3.76301 
  -1.26875               -3.84124 
  -1.23125               -3.93138 
  -1.19375               -4.01114 
  -1.15625               -4.08093 
  -1.11876               -4.15294 
  -1.08125               -4.25250 
  -1.04375               -4.31859 
  -1.00625               -4.42028 
  -0.96875               -4.49446 
  -0.93125               -4.42887 
  -0.89375               -4.33266 
  -0.85625               -4.25058 
  -0.81875               -4.22613 
  -0.78125               -4.19684 
  -0.74375               -4.17733 
  -0.70625               -4.16237 
  -0.66875               -4.23947 
  -0.63125               -4.40650 
  -0.59375               -4.57882 
  -0.55625               -4.79119 
  -0.51875               -4.94810 
  -0.48125               -5.12669 
  -0.44375               -5.27096 
  -0.40625               -5.38717 
  -0.36875               -5.48580 
  -0.33125               -5.51533 
  -0.29375               -5.56107 
  -0.25624               -5.63441 
  -0.21875               -5.68587 
  -0.18125               -5.73245 
  -0.14375               -5.82194 
  -0.10625               -6.01248 
  -0.06875               -6.18786 
  -0.03125               -6.35796 
   0.00625               -6.53571 
   0.04375               -6.70753 
   0.08125               -6.87985 
   0.11876               -7.03552 
   0.15625               -7.21041 
   0.19375               -7.36559 
   0.23126               -7.51494 
   0.26875               -7.67333 
   0.30625               -7.79651 
   0.34375               -7.97564 
   0.38125               -8.12495 
   0.41875               -8.26931 
   0.45625               -8.41990 
   0.49376               -8.56278 
   0.53125               -8.69717 
   0.56875               -8.80587 
   0.60626               -8.85837 
   0.64375               -9.02126 
   0.68125               -9.11065 
   0.71876               -9.19279 
   0.75625               -9.24820 
   0.79375               -9.29240 
   0.83125               -9.35291 
   0.86876               -9.40442 
   0.90625               -9.66746 
   0.94375               -9.91950 
